PhoneLink,Model Name,Price,DcPrice,Color,QuickCharge,Size,Processor,Storage,RAM,Camera,FrontCam,Network,Battery,NewSize,ProcessorNew,Brand,BackCamera,FrontCamera,Net,Power
https://www.flipkart.com/realme-11-pro-5g-astral-black-256-gb/p/itm5647cce338e55?pid=MOBGPU8HFZFVPY2A&lid=LSTMOBGPU8HFZFVPY2AKCOEBQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGPU8HFZFVPY2A.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 Pro+ 5G (Astral Black, 256 GB)  (12 GB RAM)",32999,29999,Astral Black,1,17.02 cm (6.7 inch),Dimensity 7050,256,12,200MP (OIS) + 8MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Dimensity,REALME,200,32,1,5000
https://www.flipkart.com/realme-11-pro-5g-oasis-green-256-gb/p/itm5647cce338e55?pid=MOBGPU8H9KVVVHMS&lid=LSTMOBGPU8H9KVVVHMSM5WQKX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGPU8H9KVVVHMS.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 Pro+ 5G (Oasis Green, 256 GB)  (8 GB RAM)",29999,25999,Oasis Green,1,17.02 cm (6.7 inch),Dimensity 7050,256,8,200MP (OIS) + 8MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Dimensity,REALME,200,32,1,5000
https://www.flipkart.com/realme-11-pro-5g-sunrise-beige-256-gb/p/itm5647cce338e55?pid=MOBGPU8HQPGU7HVR&lid=LSTMOBGPU8HQPGU7HVRYDHQ4Y&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGPU8HQPGU7HVR.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)  (12 GB RAM)",32999,29999,Sunrise Beige,1,17.02 cm (6.7 inch),Dimensity 7050,256,12,200MP (OIS) + 8MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Dimensity,REALME,200,32,1,5000
https://www.flipkart.com/realme-11-pro-5g-sunrise-beige-256-gb/p/itm3f783627a36ec?pid=MOBGPUNGNFZTHKHG&lid=LSTMOBGPUNGNFZTHKHGWTDV1H&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGPUNGNFZTHKHG.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 Pro 5G (Sunrise Beige, 256 GB)  (12 GB RAM)",30999,27999,Sunrise Beige,1,17.02 cm (6.7 inch),Dimensity 7050,256,12,100MP (OIS) + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Dimensity,REALME,100,16,1,5000
https://www.flipkart.com/realme-11-pro-5g-oasis-green-256-gb/p/itm3f783627a36ec?pid=MOBGQWWX48NXZ5UX&lid=LSTMOBGQWWX48NXZ5UXN3TX1M&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGQWWX48NXZ5UX.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 Pro 5G (Oasis Green, 256 GB)  (8 GB RAM)",27999,24999,Oasis Green,1,17.02 cm (6.7 inch),Dimensity 7050,256,8,100MP (OIS) + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Dimensity,REALME,100,16,1,5000
https://www.flipkart.com/realme-11-pro-5g-oasis-green-256-gb/p/itm5647cce338e55?pid=MOBGPU8HCGG9PCER&lid=LSTMOBGPU8HCGG9PCERHGOPBG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGPU8HCGG9PCER.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 Pro+ 5G (Oasis Green, 256 GB)  (12 GB RAM)",32999,29999,Oasis Green,1,17.02 cm (6.7 inch),Dimensity 7050,256,12,200MP (OIS) + 8MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Dimensity,REALME,200,32,1,5000
https://www.flipkart.com/realme-11-pro-5g-astral-black-256-gb/p/itm3f783627a36ec?pid=MOBGPUNGDGRHGTDW&lid=LSTMOBGPUNGDGRHGTDWGNQYBK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGPUNGDGRHGTDW.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 Pro 5G (Astral Black, 256 GB)  (12 GB RAM)",30999,27999,Astral Black,1,17.02 cm (6.7 inch),Dimensity 7050,256,12,100MP (OIS) + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Dimensity,REALME,100,16,1,5000
https://www.flipkart.com/realme-11-5g-glory-gold-256-gb/p/itm676fecfaebff9?pid=MOBGS2W3AMEZWYXX&lid=LSTMOBGS2W3AMEZWYXXFOAUS5&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGS2W3AMEZWYXX.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 5G (Glory Gold, 256 GB)  (8 GB RAM)",22999,19999,Glory Gold,0,17.07 cm (6.72 inch),Dimensity 6100+,256,8,108MP + 2MP,Yes,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.72,Dimensity,REALME,108,8,1,5000
https://www.flipkart.com/realme-11-pro-5g-sunrise-beige-256-gb/p/itm3f783627a36ec?pid=MOBGPUNGGMRMZDQ9&lid=LSTMOBGPUNGGMRMZDQ9RPSPAE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGPUNGGMRMZDQ9.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 Pro 5G (Sunrise Beige, 256 GB)  (8 GB RAM)",27999,24999,Sunrise Beige,1,17.02 cm (6.7 inch),Dimensity 7050,256,8,100MP (OIS) + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Dimensity,REALME,100,16,1,5000
https://www.flipkart.com/realme-11-5g-glory-black-256-gb/p/itm676fecfaebff9?pid=MOBGS2W3BG7HUZFZ&lid=LSTMOBGS2W3BG7HUZFZEV2RAM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGS2W3BG7HUZFZ.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 5G (Glory Black, 256 GB)  (8 GB RAM)",22999,19999,Glory Black,0,17.07 cm (6.72 inch),Dimensity 6100+,256,8,108MP + 2MP,Yes,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.72,Dimensity,REALME,108,8,1,5000
